pred,pred_rescaled,pred_mf,enpamgb,deepcpf1,Score
46.1818,69.03369374,48.7894,46.800952,50.033382,47.89039297
39.4557,59.68470088,38.302,45.909767,15.581436,29.43126765
50.507,75.04553775,51.3391,25.652697,48.654522,51.98839145
17.3797,29,14.9872,23.232431,2.5048866,56.21008167
52.6423,78.01351391,64.3473,42.940507,56.495125,46.84610773
57.6805,85.01639758,64.4122,26.161265,69.027855,43.93500068
66.7981,97.68947372,67.3576,42.571779,98.73972,87.74207699
60.8386,89.40602224,65.7439,44.305409,87.00441,33.66896281
56.9649,84.02174402,52.1669,20.069877,39.494987,53.37188917
60.3969,88.79207803,56.0853,32.739208,57.808533,68.84074413
41.8871,63.06424344,53.1395,26.335586,45.11328,99.99978273
30.4547,47.17369378,44.8368,42.028761,79.87564,38.64932058
52.9442,78.43314207,42.9722,34.322143,47.275425,76.64892745
50.0506,74.41116116,52.9257,32.852092,38.980392,33.00386105
44.8324,67.15808515,36.5536,22.314231,54.79835,72.3414887
68.4604,100,54.255,47.593864,60.681656,83.39809759
43.831,65.76618175,51.9655,49.661462,77.63652,70.79286286
64.6579,94.71468676,63.8643,24.428711,75.408066,62.69596107
58.3554,85.95447987,62.095,28.206996,61.305935,92.68854138
59.8476,88.02857439,66.8224,40.618609,77.278175,81.81471232
48.3711,72.07672761,43.8198,22.899019,43.420654,38.59352278